SpO2_%_Value_1,PR_bpm_Value_1,Pi_Value_1,Events_1,SpO2_%_Value_2,PR_bpm_Value_2,Pi_Value_2,Events_2,SpO2_%_Value_3,PR_bpm_Value_3,Pi_Value_3,Events_3,Epoch Time,Diff_PR_R1_R2,Diff_PR_R1_R3,Data_Experimento
100.0,114.0,0.44,,99.0,114.0,3.7,,98.0,114.0,0.8,,1695749782000,0.0,0.0,26-09-2023
100.0,114.0,0.44,,99.0,114.0,3.7,,98.0,114.0,0.8,,1695749782000,0.0,0.0,26-09-2023
100.0,114.0,0.44,,99.0,114.0,3.7,,98.0,114.0,0.8,,1695749782000,0.0,0.0,26-09-2023
100.0,114.0,0.44,,99.0,114.0,3.7,,98.0,114.0,0.8,,1695749782000,0.0,0.0,26-09-2023
100.0,115.0,0.57,,100.0,114.0,3.7,,98.0,115.0,1.1,,1695749784000,1.0,0.0,26-09-2023
100.0,115.0,0.57,,100.0,114.0,3.7,,98.0,115.0,1.1,,1695749786000,1.0,0.0,26-09-2023
100.0,115.0,0.57,,100.0,114.0,3.7,,98.0,115.0,1.2,,1695749788000,1.0,0.0,26-09-2023
100.0,115.0,0.58,,100.0,114.0,3.7,,98.0,115.0,1.3,,1695749790000,1.0,0.0,26-09-2023
100.0,115.0,0.58,,100.0,114.0,3.7,,98.0,114.0,1.3,,1695749792000,1.0,1.0,26-09-2023
100.0,115.0,0.58,,100.0,114.0,3.7,,98.0,115.0,1.3,,1695749794000,1.0,0.0,26-09-2023
100.0,114.0,0.58,,100.0,114.0,3.7,,98.0,114.0,1.3,,1695749796000,0.0,0.0,26-09-2023
100.0,114.0,0.58,,100.0,114.0,3.7,,98.0,114.0,1.3,,1695749798000,0.0,0.0,26-09-2023
100.0,114.0,0.58,,100.0,114.0,3.7,,98.0,114.0,1.3,,1695749800000,0.0,0.0,26-09-2023
100.0,114.0,0.58,,100.0,114.0,3.7,,98.0,114.0,1.3,,1695749802000,0.0,0.0,26-09-2023
100.0,113.0,0.58,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749804000,0.0,0.0,26-09-2023
100.0,113.0,0.58,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749804000,0.0,0.0,26-09-2023
100.0,113.0,0.58,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749804000,0.0,0.0,26-09-2023
100.0,113.0,0.59,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749806000,0.0,0.0,26-09-2023
100.0,113.0,0.59,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749808000,0.0,0.0,26-09-2023
100.0,113.0,0.59,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749810000,0.0,0.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749812000,0.0,0.0,26-09-2023
100.0,112.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749814000,1.0,1.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749816000,0.0,0.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749818000,0.0,0.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749820000,0.0,0.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749822000,0.0,0.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749824000,0.0,0.0,26-09-2023
100.0,113.0,0.6,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749826000,0.0,0.0,26-09-2023
100.0,113.0,0.61,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749828000,0.0,0.0,26-09-2023
100.0,113.0,0.61,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749830000,0.0,0.0,26-09-2023
100.0,113.0,0.61,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749832000,0.0,0.0,26-09-2023
100.0,113.0,0.61,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749834000,0.0,0.0,26-09-2023
100.0,113.0,0.61,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749836000,0.0,0.0,26-09-2023
100.0,112.0,0.61,,100.0,113.0,3.7,,98.0,113.0,1.3,,1695749838000,1.0,1.0,26-09-2023
