Date,Time,Systolic (mmHg),Diastolic (mmHg),MAP (mmHg),HeartRate (bpm),Respiration (Bpm),AS,SQE,TimeStamp (mS)
26 Sep 2023,13:15:20.012,59,45,49,0,0,0,0,321124
26 Sep 2023,13:15:52.098,58,44,49,112,0,13,264,352164
26 Sep 2023,13:15:52.098,57,44,49,112,0,13,264,352700
26 Sep 2023,13:15:53.673,57,44,48,112,0,13,265,353236
26 Sep 2023,13:15:53.673,57,44,48,112,0,13,265,353774
26 Sep 2023,13:15:53.673,58,44,49,112,0,13,267,354310
26 Sep 2023,13:15:55.294,58,44,49,112,0,13,277,354852
26 Sep 2023,13:15:55.294,60,45,50,112,0,13,283,355394
26 Sep 2023,13:15:55.294,60,45,50,112,0,13,283,355936
26 Sep 2023,13:15:56.780,59,45,50,112,0,13,287,356474
26 Sep 2023,13:15:56.780,59,45,50,112,0,13,298,357014
26 Sep 2023,13:15:56.780,59,45,50,112,0,13,298,357550
26 Sep 2023,13:15:58.008,59,45,50,112,0,13,300,358088
26 Sep 2023,13:15:58.008,59,45,50,112,0,13,312,358624
26 Sep 2023,13:15:59.583,59,45,50,111,0,13,312,359162
26 Sep 2023,13:15:59.583,59,45,50,111,0,13,330,359706
26 Sep 2023,13:15:59.583,59,45,50,111,0,13,313,360250
26 Sep 2023,13:16:01.249,64,50,55,112,0,13,310,360794
26 Sep 2023,13:16:01.249,64,50,55,111,0,13,310,361332
26 Sep 2023,13:16:01.249,64,50,55,112,0,13,310,361872
26 Sep 2023,13:16:03.154,64,50,55,112,0,12,298,362408
26 Sep 2023,13:16:03.154,64,50,55,112,0,12,282,362944
26 Sep 2023,13:16:04.188,64,50,55,112,0,12,259,363480
26 Sep 2023,13:16:04.188,64,50,55,111,0,12,259,363986
26 Sep 2023,13:16:04.188,64,50,55,111,0,12,264,364564
26 Sep 2023,13:16:05.523,64,50,55,111,0,12,236,365108
26 Sep 2023,13:16:05.523,64,50,55,112,0,12,229,365650
26 Sep 2023,13:16:05.523,64,50,55,112,0,12,229,366184
26 Sep 2023,13:16:08.377,64,50,55,112,0,12,234,366716
26 Sep 2023,13:16:08.377,64,50,55,112,0,12,230,367256
26 Sep 2023,13:16:08.377,64,50,55,112,0,13,227,367792
26 Sep 2023,13:16:08.377,64,50,55,112,0,13,227,368326
26 Sep 2023,13:16:08.377,64,50,55,111,0,13,229,368870
26 Sep 2023,13:16:09.904,64,50,55,111,0,13,229,369412
26 Sep 2023,13:16:09.904,64,50,55,112,0,13,229,369956
26 Sep 2023,13:16:09.904,64,50,55,112,0,13,249,370492
26 Sep 2023,13:16:11.388,64,50,55,112,0,13,254,371028
26 Sep 2023,13:16:11.388,64,50,55,112,0,14,266,371566
26 Sep 2023,13:16:11.388,64,50,55,112,0,14,295,372102
26 Sep 2023,13:16:13.849,64,50,55,112,0,14,295,372636
26 Sep 2023,13:16:13.849,64,50,55,111,0,14,307,373176
26 Sep 2023,13:16:13.849,64,50,55,111,0,14,308,373718
26 Sep 2023,13:16:14.824,64,50,55,111,0,14,308,374260
26 Sep 2023,13:16:14.824,63,50,54,112,0,14,312,374800
26 Sep 2023,13:16:15.799,63,50,54,112,0,14,309,375336
26 Sep 2023,13:16:15.799,64,50,55,112,13,14,304,375870
26 Sep 2023,13:16:15.799,64,50,55,112,13,14,297,376406
26 Sep 2023,13:16:18.634,65,50,55,112,13,14,290,376942
26 Sep 2023,13:16:18.634,65,50,55,112,13,14,286,377476
26 Sep 2023,13:16:18.634,65,50,55,112,13,13,286,378016
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,286,378558
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,286,379100
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,282,379638
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,279,380174
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,282,380710
26 Sep 2023,13:16:21.798,65,50,55,112,13,13,284,381244
26 Sep 2023,13:16:21.798,65,50,55,112,13,13,297,381778
26 Sep 2023,13:16:21.798,64,50,55,112,13,13,304,382316
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,308,382858
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,308,383402
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,304,383940
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,295,384476
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,295,385010
26 Sep 2023,13:16:25.779,64,50,55,112,13,13,295,385546
26 Sep 2023,13:16:25.779,64,50,55,112,13,13,284,386080
26 Sep 2023,13:16:25.779,64,50,55,112,13,13,284,386612
26 Sep 2023,13:16:28.673,65,50,55,112,13,13,284,387154
26 Sep 2023,13:16:28.673,64,50,55,112,13,13,284,387692
26 Sep 2023,13:16:28.673,64,50,55,112,13,13,284,388236
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,293,388776
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,298,389310
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,300,389844
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,300,390380
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,300,390914
26 Sep 2023,13:16:31.760,64,50,55,112,13,13,300,391450
26 Sep 2023,13:16:31.760,64,50,55,112,13,13,300,391990
26 Sep 2023,13:16:31.760,64,50,55,112,13,13,257,392534
26 Sep 2023,13:16:34.296,64,50,55,112,13,13,208,393072
26 Sep 2023,13:16:34.296,64,50,55,112,13,13,198,393612
26 Sep 2023,13:16:34.296,64,50,55,112,13,13,181,394150
26 Sep 2023,13:16:35.764,64,50,55,112,13,13,180,394686
26 Sep 2023,13:16:35.764,64,50,55,112,13,13,180,395222
26 Sep 2023,13:16:39.023,64,50,55,112,13,13,180,398462
26 Sep 2023,13:16:39.888,59,45,50,112,13,13,163,398998
26 Sep 2023,13:16:39.888,59,45,50,112,13,13,146,400070
26 Sep 2023,13:16:39.888,59,45,50,112,13,13,146,400608
26 Sep 2023,13:16:41.405,58,45,49,112,13,13,146,401152
26 Sep 2023,13:16:41.405,58,44,49,112,13,11,146,401692
26 Sep 2023,13:16:41.405,58,45,50,112,13,10,114,402236
26 Sep 2023,13:16:44.013,58,45,50,112,13,9,88,402774
26 Sep 2023,13:16:44.013,57,44,49,112,13,9,88,403314
26 Sep 2023,13:16:45.650,58,45,50,112,13,8,82,403850
26 Sep 2023,13:16:45.650,58,45,50,111,13,8,82,404384
26 Sep 2023,13:16:45.650,60,46,51,111,13,10,88,404924
26 Sep 2023,13:16:45.650,62,47,53,111,13,11,88,405462
26 Sep 2023,13:16:45.650,62,47,52,111,13,12,103,406004
26 Sep 2023,13:16:45.650,62,47,52,111,13,12,128,406546
26 Sep 2023,13:16:49.220,62,47,52,111,13,12,189,407086
26 Sep 2023,13:16:49.220,61,47,52,111,13,12,251,407620
26 Sep 2023,13:16:49.220,61,47,52,112,13,12,251,408154
26 Sep 2023,13:16:49.220,62,47,52,112,13,12,264,408690
26 Sep 2023,13:16:49.220,62,47,52,112,13,12,264,409224
26 Sep 2023,13:16:50.180,65,50,55,112,13,12,264,409758
26 Sep 2023,13:16:50.180,65,50,55,112,13,12,257,410300
26 Sep 2023,13:16:50.180,65,50,55,112,13,12,244,410840
26 Sep 2023,13:16:51.845,65,50,55,112,13,12,234,411382
26 Sep 2023,13:16:51.845,65,50,55,112,13,12,232,411922
26 Sep 2023,13:16:51.845,65,50,55,112,13,12,232,412456
26 Sep 2023,13:16:54.020,65,50,55,112,13,12,232,412988
26 Sep 2023,13:16:54.020,65,50,55,112,13,12,240,413522
26 Sep 2023,13:16:54.020,65,50,55,112,13,12,240,414058
26 Sep 2023,13:16:55.041,65,50,55,111,13,12,246,414596
26 Sep 2023,13:16:56.088,65,50,55,111,13,12,240,415138
26 Sep 2023,13:16:56.088,65,50,55,111,13,13,246,415682
26 Sep 2023,13:16:56.088,65,50,55,112,13,13,257,416224
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,268,416762
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,272,417296
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,283,417834
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,301,418370
26 Sep 2023,13:17:00.681,66,50,56,112,13,13,301,418904
26 Sep 2023,13:17:00.681,65,50,55,112,13,13,301,419448
26 Sep 2023,13:17:00.681,65,50,55,112,13,13,297,420536
26 Sep 2023,13:17:00.681,65,50,55,112,13,13,297,421076
26 Sep 2023,13:17:00.681,64,50,55,112,13,13,278,421608
26 Sep 2023,13:17:03.455,64,50,55,112,13,14,248,422144
26 Sep 2023,13:17:03.455,65,50,55,112,13,15,210,422678
26 Sep 2023,13:17:03.455,65,50,55,112,13,15,195,423218
26 Sep 2023,13:17:04.954,65,50,55,112,13,15,195,423754
26 Sep 2023,13:17:04.954,65,50,55,112,13,15,195,424296
26 Sep 2023,13:17:04.954,65,50,55,112,13,14,195,424836
26 Sep 2023,13:17:04.954,65,50,55,111,13,13,195,425378
26 Sep 2023,13:17:04.954,64,50,55,111,13,13,192,425918
26 Sep 2023,13:17:06.680,65,50,55,111,13,13,183,426456
