Date,Time,Systolic (mmHg),Diastolic (mmHg),MAP (mmHg),HeartRate (bpm),Respiration (Bpm),AS,SQE,TimeStamp (mS)
26 Sep 2023,13:15:52.098,58,44,49,112,0,13,264,1695749533750.0
26 Sep 2023,13:15:52.098,57,44,49,112,0,13,264,1695749534286.0
26 Sep 2023,13:15:53.673,57,44,48,112,0,13,265,1695749534822.0
26 Sep 2023,13:15:53.673,57,44,48,112,0,13,265,1695749535360.0
26 Sep 2023,13:15:53.673,58,44,49,112,0,13,267,1695749535896.0
26 Sep 2023,13:15:55.294,58,44,49,112,0,13,277,1695749536438.0
26 Sep 2023,13:15:55.294,60,45,50,112,0,13,283,1695749536980.0
26 Sep 2023,13:15:55.294,60,45,50,112,0,13,283,1695749537522.0
26 Sep 2023,13:15:56.780,59,45,50,112,0,13,287,1695749538060.0
26 Sep 2023,13:15:56.780,59,45,50,112,0,13,298,1695749538600.0
26 Sep 2023,13:15:56.780,59,45,50,112,0,13,298,1695749539136.0
26 Sep 2023,13:15:58.008,59,45,50,112,0,13,300,1695749539674.0
26 Sep 2023,13:15:58.008,59,45,50,112,0,13,312,1695749540210.0
26 Sep 2023,13:15:59.583,59,45,50,111,0,13,312,1695749540748.0
26 Sep 2023,13:15:59.583,59,45,50,111,0,13,330,1695749541292.0
26 Sep 2023,13:15:59.583,59,45,50,111,0,13,313,1695749541836.0
26 Sep 2023,13:16:01.249,64,50,55,112,0,13,310,1695749542380.0
26 Sep 2023,13:16:01.249,64,50,55,111,0,13,310,1695749542918.0
26 Sep 2023,13:16:01.249,64,50,55,112,0,13,310,1695749543458.0
26 Sep 2023,13:16:03.154,64,50,55,112,0,12,298,1695749543994.0
26 Sep 2023,13:16:03.154,64,50,55,112,0,12,282,1695749544530.0
26 Sep 2023,13:16:04.188,64,50,55,112,0,12,259,1695749545066.0
26 Sep 2023,13:16:04.188,64,50,55,111,0,12,259,1695749545572.0
26 Sep 2023,13:16:04.188,64,50,55,111,0,12,264,1695749546150.0
26 Sep 2023,13:16:05.523,64,50,55,111,0,12,236,1695749546694.0
26 Sep 2023,13:16:05.523,64,50,55,112,0,12,229,1695749547236.0
26 Sep 2023,13:16:05.523,64,50,55,112,0,12,229,1695749547770.0
26 Sep 2023,13:16:08.377,64,50,55,112,0,12,234,1695749548302.0
26 Sep 2023,13:16:08.377,64,50,55,112,0,12,230,1695749548842.0
26 Sep 2023,13:16:08.377,64,50,55,112,0,13,227,1695749549378.0
26 Sep 2023,13:16:08.377,64,50,55,112,0,13,227,1695749549912.0
26 Sep 2023,13:16:08.377,64,50,55,111,0,13,229,1695749550456.0
26 Sep 2023,13:16:09.904,64,50,55,111,0,13,229,1695749550998.0
26 Sep 2023,13:16:09.904,64,50,55,112,0,13,229,1695749551542.0
26 Sep 2023,13:16:09.904,64,50,55,112,0,13,249,1695749552078.0
26 Sep 2023,13:16:11.388,64,50,55,112,0,13,254,1695749552614.0
26 Sep 2023,13:16:11.388,64,50,55,112,0,14,266,1695749553152.0
26 Sep 2023,13:16:11.388,64,50,55,112,0,14,295,1695749553688.0
26 Sep 2023,13:16:13.849,64,50,55,112,0,14,295,1695749554222.0
26 Sep 2023,13:16:13.849,64,50,55,111,0,14,307,1695749554762.0
26 Sep 2023,13:16:13.849,64,50,55,111,0,14,308,1695749555304.0
26 Sep 2023,13:16:14.824,64,50,55,111,0,14,308,1695749555846.0
26 Sep 2023,13:16:14.824,63,50,54,112,0,14,312,1695749556386.0
26 Sep 2023,13:16:15.799,63,50,54,112,0,14,309,1695749556922.0
26 Sep 2023,13:16:15.799,64,50,55,112,13,14,304,1695749557456.0
26 Sep 2023,13:16:15.799,64,50,55,112,13,14,297,1695749557992.0
26 Sep 2023,13:16:18.634,65,50,55,112,13,14,290,1695749558528.0
26 Sep 2023,13:16:18.634,65,50,55,112,13,14,286,1695749559062.0
26 Sep 2023,13:16:18.634,65,50,55,112,13,13,286,1695749559602.0
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,286,1695749560144.0
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,286,1695749560686.0
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,282,1695749561224.0
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,279,1695749561760.0
26 Sep 2023,13:16:20.139,65,50,55,112,13,13,282,1695749562296.0
26 Sep 2023,13:16:21.798,65,50,55,112,13,13,284,1695749562830.0
26 Sep 2023,13:16:21.798,65,50,55,112,13,13,297,1695749563364.0
26 Sep 2023,13:16:21.798,64,50,55,112,13,13,304,1695749563902.0
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,308,1695749564444.0
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,308,1695749564988.0
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,304,1695749565526.0
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,295,1695749566062.0
26 Sep 2023,13:16:24.665,64,50,55,112,13,13,295,1695749566596.0
26 Sep 2023,13:16:25.779,64,50,55,112,13,13,295,1695749567132.0
26 Sep 2023,13:16:25.779,64,50,55,112,13,13,284,1695749567666.0
26 Sep 2023,13:16:25.779,64,50,55,112,13,13,284,1695749568198.0
26 Sep 2023,13:16:28.673,65,50,55,112,13,13,284,1695749568740.0
26 Sep 2023,13:16:28.673,64,50,55,112,13,13,284,1695749569278.0
26 Sep 2023,13:16:28.673,64,50,55,112,13,13,284,1695749569822.0
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,293,1695749570362.0
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,298,1695749570896.0
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,300,1695749571430.0
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,300,1695749571966.0
26 Sep 2023,13:16:30.154,64,50,55,112,13,13,300,1695749572500.0
26 Sep 2023,13:16:31.760,64,50,55,112,13,13,300,1695749573036.0
26 Sep 2023,13:16:31.760,64,50,55,112,13,13,300,1695749573576.0
26 Sep 2023,13:16:31.760,64,50,55,112,13,13,257,1695749574120.0
26 Sep 2023,13:16:34.296,64,50,55,112,13,13,208,1695749574658.0
26 Sep 2023,13:16:34.296,64,50,55,112,13,13,198,1695749575198.0
26 Sep 2023,13:16:34.296,64,50,55,112,13,13,181,1695749575736.0
26 Sep 2023,13:16:35.764,64,50,55,112,13,13,180,1695749576272.0
26 Sep 2023,13:16:35.764,64,50,55,112,13,13,180,1695749576808.0
26 Sep 2023,13:16:39.023,64,50,55,112,13,13,180,1695749580048.0
26 Sep 2023,13:16:39.888,59,45,50,112,13,13,163,1695749580584.0
26 Sep 2023,13:16:39.888,59,45,50,112,13,13,146,1695749581656.0
26 Sep 2023,13:16:39.888,59,45,50,112,13,13,146,1695749582194.0
26 Sep 2023,13:16:41.405,58,45,49,112,13,13,146,1695749582738.0
26 Sep 2023,13:16:41.405,58,44,49,112,13,11,146,1695749583278.0
26 Sep 2023,13:16:41.405,58,45,50,112,13,10,114,1695749583822.0
26 Sep 2023,13:16:44.013,58,45,50,112,13,9,88,1695749584360.0
26 Sep 2023,13:16:44.013,57,44,49,112,13,9,88,1695749584900.0
26 Sep 2023,13:16:45.650,58,45,50,112,13,8,82,1695749585436.0
26 Sep 2023,13:16:45.650,58,45,50,111,13,8,82,1695749585970.0
26 Sep 2023,13:16:45.650,60,46,51,111,13,10,88,1695749586510.0
26 Sep 2023,13:16:45.650,62,47,53,111,13,11,88,1695749587048.0
26 Sep 2023,13:16:45.650,62,47,52,111,13,12,103,1695749587590.0
26 Sep 2023,13:16:45.650,62,47,52,111,13,12,128,1695749588132.0
26 Sep 2023,13:16:49.220,62,47,52,111,13,12,189,1695749588672.0
26 Sep 2023,13:16:49.220,61,47,52,111,13,12,251,1695749589206.0
26 Sep 2023,13:16:49.220,61,47,52,112,13,12,251,1695749589740.0
26 Sep 2023,13:16:49.220,62,47,52,112,13,12,264,1695749590276.0
26 Sep 2023,13:16:49.220,62,47,52,112,13,12,264,1695749590810.0
26 Sep 2023,13:16:50.180,65,50,55,112,13,12,264,1695749591344.0
26 Sep 2023,13:16:50.180,65,50,55,112,13,12,257,1695749591886.0
26 Sep 2023,13:16:50.180,65,50,55,112,13,12,244,1695749592426.0
26 Sep 2023,13:16:51.845,65,50,55,112,13,12,234,1695749592968.0
26 Sep 2023,13:16:51.845,65,50,55,112,13,12,232,1695749593508.0
26 Sep 2023,13:16:51.845,65,50,55,112,13,12,232,1695749594042.0
26 Sep 2023,13:16:54.020,65,50,55,112,13,12,232,1695749594574.0
26 Sep 2023,13:16:54.020,65,50,55,112,13,12,240,1695749595108.0
26 Sep 2023,13:16:54.020,65,50,55,112,13,12,240,1695749595644.0
26 Sep 2023,13:16:55.041,65,50,55,111,13,12,246,1695749596182.0
26 Sep 2023,13:16:56.088,65,50,55,111,13,12,240,1695749596724.0
26 Sep 2023,13:16:56.088,65,50,55,111,13,13,246,1695749597268.0
26 Sep 2023,13:16:56.088,65,50,55,112,13,13,257,1695749597810.0
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,268,1695749598348.0
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,272,1695749598882.0
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,283,1695749599420.0
26 Sep 2023,13:16:58.312,65,50,55,112,13,13,301,1695749599956.0
26 Sep 2023,13:17:00.681,66,50,56,112,13,13,301,1695749600490.0
26 Sep 2023,13:17:00.681,65,50,55,112,13,13,301,1695749601034.0
26 Sep 2023,13:17:00.681,65,50,55,112,13,13,297,1695749602122.0
26 Sep 2023,13:17:00.681,65,50,55,112,13,13,297,1695749602662.0
26 Sep 2023,13:17:00.681,64,50,55,112,13,13,278,1695749603194.0
26 Sep 2023,13:17:03.455,64,50,55,112,13,14,248,1695749603730.0
26 Sep 2023,13:17:03.455,65,50,55,112,13,15,210,1695749604264.0
26 Sep 2023,13:17:03.455,65,50,55,112,13,15,195,1695749604804.0
26 Sep 2023,13:17:04.954,65,50,55,112,13,15,195,1695749605340.0
26 Sep 2023,13:17:04.954,65,50,55,112,13,15,195,1695749605882.0
26 Sep 2023,13:17:04.954,65,50,55,112,13,14,195,1695749606422.0
26 Sep 2023,13:17:04.954,65,50,55,111,13,13,195,1695749606964.0
26 Sep 2023,13:17:04.954,64,50,55,111,13,13,192,1695749607504.0
26 Sep 2023,13:17:06.680,65,50,55,111,13,13,183,1695749608042.0
26 Sep 2023,13:17:06.680,65,50,55,111,13,13,175,1695749608576.0
26 Sep 2023,13:17:06.680,66,50,56,111,13,13,172,1695749609112.0
26 Sep 2023,13:17:09.291,66,51,56,112,13,13,172,1695749609646.0
26 Sep 2023,13:17:09.291,66,51,56,111,13,13,175,1695749610184.0
26 Sep 2023,13:17:09.291,66,50,56,111,13,13,175,1695749610726.0
26 Sep 2023,13:17:10.419,65,50,55,112,13,13,164,1695749612344.0
26 Sep 2023,13:17:12.335,65,50,55,112,13,13,164,1695749612878.0
26 Sep 2023,13:17:12.335,66,50,56,112,13,13,164,1695749613414.0
26 Sep 2023,13:17:12.335,66,51,56,112,13,13,165,1695749613950.0
26 Sep 2023,13:17:14.484,66,50,56,112,13,13,149,1695749614486.0
26 Sep 2023,13:17:14.484,66,51,56,112,13,13,141,1695749615026.0
26 Sep 2023,13:17:14.484,66,51,56,111,13,13,136,1695749615570.0
26 Sep 2023,13:17:15.515,66,51,56,112,13,13,128,1695749616116.0
26 Sep 2023,13:17:15.515,67,51,57,112,13,13,128,1695749616652.0
26 Sep 2023,13:17:16.371,67,51,57,112,13,13,128,1695749617192.0
26 Sep 2023,13:17:16.371,67,51,57,112,13,13,142,1695749617730.0
26 Sep 2023,13:17:16.371,67,51,57,112,13,13,157,1695749618266.0
26 Sep 2023,13:17:19.250,67,51,57,112,13,13,157,1695749618802.0
26 Sep 2023,13:17:19.250,67,51,57,111,13,13,175,1695749619340.0
26 Sep 2023,13:17:19.250,67,51,57,111,13,13,191,1695749619880.0
26 Sep 2023,13:17:19.250,66,51,56,111,13,13,203,1695749620424.0
26 Sep 2023,13:17:20.810,66,50,56,112,13,13,221,1695749620968.0
26 Sep 2023,13:17:20.810,66,50,56,112,13,13,221,1695749621504.0
26 Sep 2023,13:17:20.810,66,50,56,112,13,13,224,1695749622042.0
26 Sep 2023,13:17:20.810,66,50,56,112,13,13,224,1695749622580.0
26 Sep 2023,13:17:20.810,66,50,56,112,13,13,224,1695749623114.0
26 Sep 2023,13:17:22.521,66,51,56,112,13,13,224,1695749623646.0
26 Sep 2023,13:17:22.521,66,51,56,111,13,13,217,1695749624188.0
26 Sep 2023,13:17:22.521,66,50,56,111,13,13,224,1695749624728.0
26 Sep 2023,13:17:24.414,66,50,56,112,13,13,228,1695749625270.0
26 Sep 2023,13:17:24.414,66,50,56,112,13,13,224,1695749625808.0
26 Sep 2023,13:17:24.414,66,50,56,112,13,13,224,1695749626342.0
26 Sep 2023,13:17:25.775,66,50,56,112,13,13,233,1695749626876.0
26 Sep 2023,13:17:25.775,66,51,56,112,13,14,233,1695749627412.0
26 Sep 2023,13:17:25.775,66,51,56,112,13,14,228,1695749627946.0
26 Sep 2023,13:17:27.380,67,51,57,112,13,14,220,1695749628518.0
26 Sep 2023,13:17:29.544,67,51,57,112,13,14,220,1695749629566.0
26 Sep 2023,13:17:29.544,67,51,57,111,13,14,221,1695749630114.0
26 Sep 2023,13:17:29.544,68,52,58,112,13,14,212,1695749631180.0
26 Sep 2023,13:17:31.072,68,52,58,112,13,14,195,1695749631710.0
26 Sep 2023,13:17:31.072,70,53,60,112,13,14,163,1695749632244.0
26 Sep 2023,13:17:31.072,70,53,60,112,13,14,145,1695749632780.0
26 Sep 2023,13:17:32.676,70,53,60,112,13,13,137,1695749633312.0
26 Sep 2023,13:17:32.676,70,53,60,112,13,11,130,1695749634398.0
26 Sep 2023,13:17:34.506,70,53,60,112,13,13,130,1695749634920.0
26 Sep 2023,13:17:34.506,69,52,59,113,13,11,130,1695749635448.0
26 Sep 2023,13:17:34.506,67,51,57,113,13,11,134,1695749635978.0
26 Sep 2023,13:17:36.125,66,51,57,113,13,11,134,1695749636506.0
26 Sep 2023,13:17:36.125,66,51,57,113,13,11,140,1695749637032.0
26 Sep 2023,13:17:36.125,66,51,57,113,13,11,142,1695749638090.0
26 Sep 2023,13:17:37.446,66,51,57,113,13,11,159,1695749638626.0
26 Sep 2023,13:17:37.446,66,51,57,113,13,12,206,1695749639160.0
26 Sep 2023,13:17:39.444,66,50,56,113,13,13,222,1695749639690.0
26 Sep 2023,13:17:39.444,66,51,57,113,13,13,222,1695749640214.0
26 Sep 2023,13:17:39.444,66,50,56,113,13,13,222,1695749640742.0
26 Sep 2023,13:17:40.641,66,50,56,114,13,13,216,1695749641266.0
26 Sep 2023,13:17:40.641,67,51,57,114,13,13,216,1695749641790.0
